,DegDist,r,CompSizeDist,CompSizeStdev,MaxMol,MaxMolStdev,LoopSizeDist,LoopCountDist
C4H10_3200K_1,"[1.34952635e-01 3.92323098e-01 3.04838234e-01 1.40749934e-01
 2.71356314e-02 4.69087743e-07]",-0.17906939897297044,"[0.         0.53652944 0.14474005 0.07804112 0.05064621 0.03281844
 0.01495663 0.01601497 0.00962161 0.00753092 0.00745851 0.00691449
 0.0113001  0.00685879 0.00439428 0.00640327 0.01013469 0.00435157
 0.00799758 0.00678018 0.0018227  0.00339102 0.00264214 0.00355875
 0.00419932 0.00413062 0.01676262]",[0.         0.06216196 0.0305432  0.03356495 0.02088879 0.01261758],41.24773837162757,15.79512392370984,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 4.18706507e-02
 1.45058684e-01 5.02384464e-01 2.19443112e-01 1.89580751e-02
 8.77772449e-03 4.82593863e-02 2.26230013e-03 6.46112916e-03
 1.08590406e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.41588316e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[0.00756545 0.0154111  0.05275799 0.17136338 0.28688656 0.23725082
 0.16011528 0.05740133 0.00908654 0.00216156 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_3200K_2,"[1.19895616e-01 3.95759659e-01 3.54021985e-01 1.14675465e-01
 1.56468042e-02 4.70594731e-07]",-0.06794536461537251,"[0.00000000e+00 4.63933875e-01 1.85800098e-01 1.07701481e-01
 4.90183226e-02 4.33993303e-02 2.74449202e-02 1.21586754e-02
 1.47147399e-02 1.26655386e-02 8.87946987e-03 7.46943567e-03
 5.00580265e-03 6.57351419e-03 5.51568648e-03 7.99381856e-03
 4.54364491e-03 4.32253415e-03 3.99388864e-03 2.74274005e-03
 2.90041739e-03 1.83352776e-03 7.74491793e-04 4.47054545e-04
 1.11099096e-03 9.76874593e-04 1.80791274e-02]",[0.         0.06949592 0.05523482 0.04010493 0.0224832  0.02385849],48.85145771423982,18.615056847127068,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 4.98462651e-02
 1.36793875e-01 3.83493097e-01 2.92530295e-01 5.11243745e-02
 1.08759872e-02 0.00000000e+00 7.71688672e-04 4.99186110e-03
 0.00000000e+00 4.82305420e-05 1.61572316e-03 2.80942907e-03
 1.64827877e-02 9.64610840e-05 1.34322059e-02 5.54651233e-04
 4.82305420e-04 1.67118828e-02 1.10327365e-02 6.08910593e-03
 1.20576355e-04 8.44034485e-05 1.20576355e-05]","[4.75463818e-02 9.73817364e-02 1.51112360e-01 2.26728777e-01
 2.23476026e-01 1.81029636e-01 5.75455787e-02 1.50991888e-02
 8.03148341e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
C4H10_3300K_1,"[1.37426996e-01 3.76480272e-01 3.48792498e-01 1.19844736e-01
 1.74548618e-02 6.36197068e-07]",-0.04115586633630368,"[0.         0.5242598  0.19723363 0.06186908 0.03478857 0.03021216
 0.0274814  0.01923964 0.02049121 0.01407035 0.00705359 0.00407047
 0.0054289  0.00410247 0.00412662 0.00219462 0.00119542 0.00177079
 0.00215297 0.00216383 0.00187464 0.00101913 0.00094849 0.00139224
 0.00083679 0.00250676 0.02751642]",[0.         0.03300422 0.04595815 0.02141543 0.02103749 0.01689664],48.77304560260586,15.434031304892315,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 9.70723079e-02
 9.58449153e-02 5.19499898e-01 1.97838827e-01 1.35133509e-02
 2.86030589e-02 0.00000000e+00 0.00000000e+00 4.69297137e-04
 1.20332599e-04 2.78208970e-02 1.20332599e-05 2.40665199e-04
 0.00000000e+00 1.69548632e-02 7.09962336e-04 7.21995596e-05
 1.68465639e-04 4.57263877e-04 6.01662997e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[0.01905537 0.10916124 0.17809446 0.29552117 0.20537459 0.06653094
 0.04332248 0.05631107 0.01677524 0.00924267 0.00061075 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_3300K_2,"[1.26036154e-01 4.00083036e-01 3.25686687e-01 1.23930801e-01
 2.42605031e-02 2.81904017e-06]",-0.06772665601303207,"[0.00000000e+00 4.93067158e-01 1.82390685e-01 8.61385251e-02
 5.04541071e-02 3.09466253e-02 1.79757968e-02 2.04389366e-02
 1.31904249e-02 1.43719756e-02 1.13952241e-02 5.94740300e-03
 8.92476444e-03 6.53665339e-03 5.67717741e-03 3.28723639e-03
 7.38392957e-03 4.31018970e-03 3.09996944e-03 1.52497513e-03
 1.68723248e-03 4.57492538e-04 7.22228220e-04 7.38087962e-04
 9.32064798e-04 1.54449481e-03 2.68566420e-02]",[0.         0.03777356 0.04878067 0.03202438 0.03051387 0.01639243],43.87142169834015,10.647798711839423,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 6.60148228e-02
 7.36138764e-02 4.43851438e-01 2.37874350e-01 1.10837772e-01
 2.56324727e-02 3.44615513e-02 4.75331742e-03 5.21197085e-05
 8.33915337e-05 1.04239417e-05 1.04239417e-05 0.00000000e+00
 2.17860382e-03 0.00000000e+00 1.56359126e-04 0.00000000e+00
 4.69077377e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]","[0.00621442 0.0579745  0.17167829 0.20692005 0.23702991 0.14802341
 0.0981878  0.05364446 0.01166707 0.00866009 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_3400K_1,"[1.48561481e-01 3.46901266e-01 3.46693954e-01 1.42146851e-01
 1.56961364e-02 3.12687613e-07]",-0.031188556245638384,"[0.         0.57511368 0.14232106 0.0686292  0.04713597 0.0231593
 0.01809424 0.01745456 0.01513194 0.00721782 0.00544333 0.00463017
 0.0078569  0.0087851  0.00573667 0.00633901 0.00254307 0.00141911
 0.00204193 0.0038652  0.00200699 0.00171546 0.00138839 0.00243706
 0.00188833 0.00272377 0.02492174]",[0.         0.04795107 0.02927839 0.02790718 0.02320146 0.01836789],54.23113868320993,21.029986285256427,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 5.00213554e-02
 5.81150342e-02 4.32075740e-01 2.80595103e-01 1.06363895e-01
 1.30481207e-02 5.35307517e-03 2.14906036e-02 8.54214123e-05
 7.04014806e-03 1.16030752e-03 7.28217540e-03 7.11845103e-06
 2.13553531e-05 0.00000000e+00 3.72294989e-03 2.61958998e-03
 4.63411162e-03 1.13895216e-04 8.54214123e-05 8.25740319e-04
 4.69105923e-03 5.62357631e-04 8.54214123e-05]","[0.         0.00040024 0.0254953  0.03474084 0.11695017 0.29797879
 0.27388433 0.15921553 0.0731639  0.01556934 0.00260156 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_3400K_2,"[1.63527620e-01 3.45026553e-01 3.26423919e-01 1.44948431e-01
 2.00695688e-02 3.90765676e-06]",-0.039321322299279225,"[0.00000000e+00 6.12056937e-01 1.60929205e-01 5.46273931e-02
 3.18427348e-02 2.22104851e-02 1.62113656e-02 1.01557605e-02
 8.73546806e-03 5.93681067e-03 8.72731550e-03 5.24791935e-03
 5.51811848e-03 4.42334614e-03 6.20759213e-03 3.38913567e-03
 3.19929748e-03 3.62148363e-03 2.51098849e-03 1.04469233e-03
 1.12447096e-03 1.72776040e-03 2.00844139e-03 1.76677622e-03
 1.45348499e-03 6.05036419e-04 2.47179797e-02]",[0.         0.08903753 0.07550365 0.0273286  0.01760631 0.01632157],64.06662398463448,26.481974039415416,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 7.38602305e-02
 8.17698896e-02 4.16449059e-01 2.43621632e-01 8.20868271e-02
 4.42541288e-02 1.61638154e-02 9.10161983e-03 8.59176376e-03
 6.91750667e-03 2.13588353e-04 2.15655337e-03 1.44688884e-04
 1.17129097e-04 2.71463907e-03 2.04631422e-03 1.52956821e-03
 1.80516608e-03 0.00000000e+00 4.13396813e-05 5.51195750e-04
 5.43616809e-03 0.00000000e+00 4.27176706e-04]","[0.00000000e+00 1.48053299e-03 3.88139730e-02 5.38593894e-02
 1.24684887e-01 2.42567324e-01 1.97110960e-01 1.60177664e-01
 1.02196791e-01 6.00216078e-02 1.63658917e-02 2.60093634e-03
 1.20043216e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
C4H10_3500K_1,"[1.46857799e-01 3.74047050e-01 3.09878841e-01 1.42469913e-01
 2.67438951e-02 2.50200160e-06]",-0.04808006106769859,"[0.         0.56160452 0.17172074 0.07597889 0.0384511  0.02885986
 0.01763473 0.01721527 0.006958   0.00684927 0.00751174 0.0067447
 0.00318638 0.00592776 0.00292496 0.0028097  0.00288812 0.00257204
 0.00180084 0.00200998 0.0019577  0.00153645 0.00175331 0.00134395
 0.00214604 0.000953   0.02666094]",[0.         0.06256989 0.04175173 0.02621812 0.02463366 0.01937874],60.44527622097678,22.299319618053495,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 8.38283202e-02
 6.80456716e-02 4.05300946e-01 2.73447829e-01 7.88879400e-02
 2.36391815e-02 8.09690989e-03 1.43846665e-02 2.75168422e-03
 3.77644938e-03 5.62988266e-03 3.56137521e-03 3.73849511e-03
 2.96675839e-03 9.06474365e-03 5.54764842e-03 9.55182339e-04
 3.68156372e-03 1.46123921e-03 8.66622387e-04 5.06056868e-05
 4.42799760e-05 0.00000000e+00 2.72005567e-04]","[0.         0.         0.00344275 0.0236189  0.09831865 0.20888711
 0.21457166 0.2123699  0.14591673 0.06385108 0.02285829 0.00556445
 0.00060048 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_3500K_2,"[1.54753584e-01 3.62590248e-01 3.16711660e-01 1.43892296e-01
 2.20492433e-02 2.96970030e-06]",0.017511209848613637,"[0.         0.57597313 0.17528158 0.06029572 0.0365872  0.0289837
 0.0171575  0.01490035 0.01424883 0.00806292 0.00682759 0.00736801
 0.00659499 0.00470409 0.00337966 0.00284965 0.00264945 0.00187007
 0.00107043 0.00232427 0.00126947 0.00121219 0.00099926 0.00110862
 0.00100909 0.00085113 0.02242111]",[0.         0.04300641 0.03892521 0.02715713 0.02411265 0.02156431],67.99543854033291,18.62836504674322,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 6.85972729e-02
 7.09988480e-02 4.62211765e-01 2.15062874e-01 1.15879044e-01
 2.81301239e-02 1.52262296e-02 9.69773069e-03 5.44316374e-03
 9.32591324e-04 2.81606008e-03 5.97346077e-04 1.88956412e-04
 1.44460225e-03 1.58479571e-04 7.31444176e-05 1.21907363e-05
 1.31659952e-03 8.96019115e-04 2.07242516e-04 0.00000000e+00
 4.87629450e-05 0.00000000e+00 6.09536813e-05]","[0.         0.00072023 0.02164693 0.04253361 0.11983835 0.19758323
 0.18629962 0.14620679 0.10487356 0.05585787 0.0315701  0.0396927
 0.01912612 0.01712548 0.01572503 0.00120038 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_3600K_1,"[1.55363743e-01 3.51803681e-01 3.28764762e-01 1.45326224e-01
 1.87253349e-02 1.62558521e-05]",-0.02974047926690221,"[0.         0.59294275 0.17010684 0.05407082 0.03578506 0.02500814
 0.01742278 0.01213337 0.00920635 0.00793352 0.00625737 0.0062123
 0.00421231 0.00498514 0.00451065 0.00303557 0.00332738 0.00307531
 0.00253023 0.00278053 0.00244838 0.00175562 0.00132977 0.00178943
 0.00092289 0.00099525 0.02522226]",[0.         0.05947928 0.04075181 0.02680659 0.01936833 0.01749736],66.70481373294386,24.69337018204397,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.01700305e-01
 9.25516415e-02 4.14300612e-01 2.36275155e-01 6.03575153e-02
 2.01610816e-02 1.52576344e-02 6.58230469e-03 1.09236675e-02
 3.83104925e-03 1.03098121e-02 3.18761048e-03 3.15063124e-03
 3.53521533e-03 4.40052954e-03 3.59438211e-03 9.91043628e-04
 2.81042223e-03 1.10937720e-03 2.33708796e-03 2.07083743e-04
 9.61460236e-05 1.47916959e-05 2.31490041e-03]","[0.00096035 0.01688608 0.07646753 0.12680565 0.15641631 0.1572166
 0.13460846 0.13164739 0.11196031 0.05746069 0.02232804 0.0052819
 0.00088032 0.00068024 0.00040014 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_3600K_2,"[1.68004488e-01 3.35788325e-01 3.27321504e-01 1.45485326e-01
 2.33929283e-02 7.42862099e-06]",0.03365426681929033,"[0.00000000e+00 6.24217426e-01 1.59370054e-01 5.17392768e-02
 3.52408794e-02 2.37898184e-02 1.38686803e-02 8.32521280e-03
 7.31589384e-03 6.86277563e-03 8.46389219e-03 6.17086190e-03
 2.80176857e-03 3.55820159e-03 4.43329077e-03 3.34387890e-03
 2.88111988e-03 2.19958856e-03 1.48171879e-03 1.25553049e-03
 7.11936958e-04 9.85587726e-04 6.59283287e-04 9.06978020e-04
 5.88831192e-04 1.22883285e-03 2.75986811e-02]",[0.         0.07112819 0.04018585 0.02781004 0.01862977 0.01700835],72.46792763157895,20.58920836186877,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 7.08075236e-02
 6.36667349e-02 3.48146997e-01 2.88654551e-01 1.28979171e-01
 2.94177891e-02 1.28407060e-02 6.53336253e-03 5.09955432e-03
 6.06013519e-03 2.27431647e-03 1.18165573e-02 6.71700299e-03
 8.08018025e-03 3.61630445e-03 1.91409864e-03 1.73752128e-03
 7.06309462e-06 6.99246368e-04 6.00363043e-04 2.82523785e-05
 6.63930895e-04 1.26429394e-03 3.74344015e-04]","[0.         0.         0.00303248 0.04245477 0.06635485 0.09339021
 0.14381168 0.15861431 0.20425576 0.1433491  0.09842722 0.03227796
 0.00920025 0.00354646 0.00128495 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_3600K_1120at_1,"[1.66314348e-01 3.44655642e-01 3.24285872e-01 1.42057341e-01
 2.26798104e-02 6.98574381e-06]",0.008393569359157147,"[0.         0.61176776 0.16321552 0.06479064 0.03095273 0.02111232
 0.0138622  0.00966184 0.00969852 0.00905469 0.0063751  0.00432584
 0.00535192 0.00306955 0.00233112 0.00283016 0.0023345  0.00202079
 0.00162647 0.00181711 0.00195177 0.0012201  0.00113467 0.00143053
 0.001181   0.00101305 0.02587012]",[0.         0.04974079 0.045224   0.02371204 0.02083657 0.01408152],73.09894976591168,26.251011492193722,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 7.93785382e-02
 8.32626742e-02 4.17922876e-01 2.63715062e-01 7.61595288e-02
 2.73463482e-02 1.89535681e-02 9.38285395e-03 4.27508822e-03
 2.24924475e-03 3.21393212e-03 4.60511284e-03 8.17445609e-04
 1.25917088e-03 6.80358458e-04 1.62473661e-03 1.69581884e-03
 2.13246681e-04 1.69581884e-03 9.24068950e-04 6.09276231e-05
 7.10822269e-05 3.40179229e-04 1.52319058e-04]","[0.         0.00147623 0.00501919 0.02606605 0.03758067 0.07398035
 0.10713231 0.13125817 0.1539078  0.14277279 0.11843604 0.08524189
 0.06048336 0.03121178 0.01830528 0.00476612 0.00206673 0.00029525
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_3600K_1120at_2,"[1.44401213e-01 3.63676876e-01 3.37091165e-01 1.34239705e-01
 2.05851424e-02 5.89913001e-06]",-0.010096564276076627,"[0.         0.54916487 0.16372341 0.0861292  0.0496392  0.02530751
 0.02087722 0.01783812 0.0114814  0.00933904 0.00508441 0.0053906
 0.00423377 0.00355976 0.0037854  0.00336858 0.00300707 0.00223165
 0.00180269 0.00268147 0.00146302 0.00141789 0.00116022 0.00149213
 0.00200746 0.00105881 0.02275512]",[0.         0.04683016 0.03581454 0.03605314 0.03171536 0.01739084],70.17748686802364,26.992912794959018,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 9.43288516e-02
 9.76181285e-02 3.57829838e-01 2.60575977e-01 9.30457617e-02
 3.46814838e-02 7.92144880e-03 2.10024411e-02 9.20997548e-03
 2.53899560e-03 2.09861307e-03 2.24540725e-03 2.71841071e-04
 3.47956571e-04 3.96887963e-04 1.19066389e-03 3.53393392e-04
 1.19066389e-03 5.00187570e-03 2.73472117e-03 5.49118963e-04
 2.02793439e-03 4.34945713e-05 2.79452621e-03]","[0.         0.00094386 0.01054662 0.03578464 0.08502955 0.11285292
 0.12676461 0.1440824  0.12807781 0.10513789 0.10751806 0.07103578
 0.04386901 0.01662016 0.00533487 0.00250328 0.00332403 0.00057452
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_4000K_1,"[1.48359703e-01 3.55097359e-01 3.40505608e-01 1.38714487e-01
 1.73052505e-02 1.75921988e-05]",0.022777753287309355,"[0.         0.56139333 0.16899281 0.07155924 0.04584349 0.02888709
 0.01822933 0.01118925 0.01164146 0.00886801 0.00873146 0.00443107
 0.00438262 0.00240053 0.00356923 0.00270004 0.00238291 0.0030025
 0.00299809 0.00106005 0.00220966 0.0023462  0.00187491 0.00201586
 0.00131992 0.00147262 0.02649831]",[0.         0.04799026 0.04047143 0.02813397 0.02562095 0.01848477],56.65982786228983,19.88237718756223,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.58415034e-01
 8.23151335e-02 3.34219670e-01 2.44025383e-01 7.24947391e-02
 3.97220274e-02 1.72754115e-02 1.67207713e-02 5.36695976e-03
 1.58235592e-03 2.85476583e-03 2.26749971e-03 7.30820052e-03
 4.29030522e-03 2.64269751e-03 3.71935205e-03 8.31960327e-04
 6.19892008e-04 3.26258952e-05 0.00000000e+00 8.15647379e-05
 7.50395589e-04 4.89388428e-05 2.41431624e-03]","[0.         0.01180945 0.04353483 0.07085669 0.11279023 0.15332266
 0.17053643 0.16943555 0.13290633 0.0617494  0.04043235 0.02191753
 0.00710568 0.00360288 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_4000K_2,"[1.40392001e-01 3.67996741e-01 3.54725577e-01 1.24638774e-01
 1.22414338e-02 5.47312850e-06]",-0.024190710600489815,"[0.         0.52716904 0.16766786 0.08754704 0.04180368 0.03050189
 0.01936327 0.01307057 0.01296713 0.01199969 0.00972534 0.01113133
 0.00740146 0.00634661 0.00609018 0.00445253 0.003319   0.00350987
 0.00301304 0.00208057 0.00200626 0.00172506 0.00226269 0.00206308
 0.00137248 0.00108108 0.02032925]",[0.         0.0685787  0.03733639 0.03368032 0.02132467 0.01802199],47.62980384307446,18.511783094348825,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.05521550e-01
 1.29504991e-01 3.79981205e-01 1.91831966e-01 2.57282910e-02
 2.15122038e-02 5.10502121e-03 1.31054276e-02 9.93066314e-03
 4.95263251e-03 6.88288929e-03 8.63535926e-04 1.01592462e-04
 5.07962309e-05 1.72707185e-03 4.82564194e-04 1.95565489e-03
 0.00000000e+00 0.00000000e+00 3.80971732e-04 0.00000000e+00
 1.52388693e-04 1.52388693e-04 7.61943464e-05]","[8.40672538e-03 6.49519616e-02 1.34807846e-01 2.11669335e-01
 2.13971177e-01 1.93254604e-01 9.25740592e-02 5.38430745e-02
 2.25180144e-02 3.80304243e-03 2.00160128e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
C4H10_4500K_1,"[1.33728810e-01 3.43307886e-01 3.65462866e-01 1.42884866e-01
 1.46053999e-02 1.01725260e-05]",0.01594894654651374,"[0.         0.54217928 0.16573969 0.07440758 0.04289141 0.02947252
 0.02196133 0.01650637 0.01124949 0.01321453 0.00766524 0.00614037
 0.00596116 0.00463436 0.00386092 0.00352765 0.00348049 0.00315979
 0.00316608 0.0024681  0.00256556 0.00208452 0.00222286 0.00183614
 0.00165064 0.00137396 0.02657997]",[0.         0.07272485 0.05556916 0.03222856 0.02720804 0.02123916],59.335136217948715,23.62578141559492,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.83296321e-01
 9.89736510e-02 2.94700198e-01 1.87353700e-01 5.62691315e-02
 2.76393974e-02 4.32146930e-03 1.00534182e-02 1.54552548e-02
 4.80163256e-03 5.88199988e-03 4.44151011e-03 1.32044895e-03
 1.11037753e-03 1.80061221e-04 0.00000000e+00 6.00204069e-05
 6.00204069e-04 1.50051017e-04 6.60224476e-04 5.10173459e-04
 2.10071424e-04 9.00306104e-05 1.92065302e-03]","[0.00380609 0.01262019 0.02483974 0.06971154 0.11197917 0.1396234
 0.13581731 0.13581731 0.11077724 0.09234776 0.07371795 0.04707532
 0.02764423 0.01141827 0.00260417 0.00020032 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_4500K_2,"[1.36530167e-01 3.54613475e-01 3.57281807e-01 1.35516044e-01
 1.60326835e-02 2.58225661e-05]",0.010207161587787028,"[0.         0.53205213 0.17344209 0.08348835 0.03932985 0.03076872
 0.0212624  0.01599587 0.01172889 0.01091053 0.00677643 0.00712068
 0.00699083 0.0054296  0.00475618 0.00400123 0.00297148 0.00286277
 0.00328252 0.00163975 0.00185114 0.00167599 0.0017243  0.00154916
 0.00130153 0.0011445  0.02594308]",[0.         0.08545485 0.06075804 0.0327679  0.02197383 0.02042544],53.015625,17.171917652358314,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.77922237e-01
 1.49713971e-01 3.01997614e-01 1.39159962e-01 6.20086268e-02
 2.26069932e-02 1.59686745e-02 7.46428462e-03 2.47789776e-03
 2.56967176e-03 4.52751690e-03 4.19101227e-03 7.03600600e-04
 5.81235278e-04 1.13187923e-03 8.87148582e-04 6.11826608e-05
 8.87148582e-04 1.13187923e-03 1.59074918e-03 6.11826608e-04
 6.73009269e-04 1.83547983e-04 9.48331243e-04]","[0.         0.00180288 0.0166266  0.06330128 0.11458333 0.16326122
 0.16546474 0.15304487 0.11678686 0.09354968 0.05649038 0.02944712
 0.01642628 0.00701122 0.00180288 0.00040064 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
C4H10_5000K_1,"[1.22878637e-01 3.58296712e-01 3.72591459e-01 1.34364984e-01
 1.18369078e-02 3.13000801e-05]",0.026254097950661148,"[0.         0.49177129 0.17552729 0.08985451 0.05559841 0.03270422
 0.02525145 0.01848324 0.0148343  0.01109242 0.00943832 0.00932061
 0.00662572 0.00506764 0.00452246 0.00437068 0.00367682 0.00232628
 0.00277543 0.00205679 0.00223955 0.00167269 0.00176872 0.00170057
 0.00164791 0.00137842 0.02429429]",[0.         0.08706693 0.04980209 0.03521174 0.02626134 0.02160369],50.1796875,17.39868693188155,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.68670266e-01
 1.03658353e-01 2.52224266e-01 1.59815424e-01 4.81044727e-02
 1.76131737e-02 1.39035498e-02 8.95738456e-03 7.02717375e-03
 1.35717948e-03 4.49377205e-03 3.55882619e-03 1.11590313e-03
 9.34945864e-04 1.20638176e-03 1.11590313e-03 1.38733902e-03
 1.50797720e-03 1.80957264e-03 2.11116808e-04 5.73031336e-04
 3.01595440e-04 2.11116808e-04 2.41276352e-04]","[0.00020032 0.00300481 0.02323718 0.06911058 0.11538462 0.13541667
 0.16586538 0.15224359 0.11217949 0.08653846 0.05548878 0.04146635
 0.02463942 0.01121795 0.00320513 0.00080128 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
